身分,姓名,組別
GESW-001,丁效中,Group A
GESW-002,王人弘,Group C
GESW-003,王仁佑,Group E
GESW-004,王依婕,Group A
GESW-005,王芷玲,Group F
GESW-006,王勁程,Group A
GESW-007,王思穎,Group C
GESW-008,王胤丞,Group B
GESW-009,王毓慶,Group C
GESW-010,甘育菱,Group B
GESW-011,任柏霖,Group F
GESW-012,江家喆,Group B
GESW-013,余杰,Group C
GESW-014,吳志豪,Group C
GESW-015,吳佩恩,Group A
GESW-016,吳孟儒,Group B
GESW-017,吳性慧,Group A
GESW-018,吳昀宸,Group A
GESW-019,吳亭萱,Group C
GESW-020,吳俞明,Group B
GESW-021,吳家甄,Group F
GESW-022,李佳璇,Group A
GESW-023,李怡儒,Group A
GESW-024,李昕儒,Group C
GESW-025,李冠霆,Group A
GESW-026,周文城,Group E
GESW-027,周芷羽,Group A
GESW-028,周聖博,Group C
GESW-029,周曉旻,Group A
GESW-030,孟友璇,Group C
GESW-031,季康揚,Group B
GESW-032,林大峻,Group A
GESW-033,林子翔,Group E
GESW-034,林伯昱,Group C
GESW-035,林君怡,Group B
GESW-036,林辰樺,Group D
GESW-037,林姿伶,Group A
GESW-038,林建維,Group A
GESW-039,林柏廷,Group D
GESW-040,林容萱,Group A
GESW-041,林國揚,Group D
GESW-042,林暐偲,Group C
GESW-043,林聖峰,Group A
GESW-044,林濬富,Group A
GESW-045,邱婕閔,Group A
GESW-046,侯藹玲,Group A
GESW-047,柯芝瀅,Group A
GESW-048,洪世哲,Group E
GESW-049,洪志憲,Group B
GESW-050,洪碧蓮,Group A
GESW-051,胡萬炯,Group E
GESW-052,范敏綉,Group D
GESW-053,徐書儀,Group A
GESW-054,徐慧穎,Group A
GESW-055,翁珈甯,Group A
GESW-056,張永華,Group D
GESW-057,張英輝,Group B
GESW-058,張智華,Group A
GESW-059,張嘉紜,Group A
GESW-060,張瀞文,Group E
GESW-061,符歐思,Group E
GESW-062,許家豪,Group C
GESW-063,許庭禎,Group A
GESW-064,許淳欣,Group D
GESW-065,許愛萍,Group A
GESW-066,許謙妤,Group C
GESW-067,許鎧麟,Group B
GESW-068,許馨尹,Group D
GESW-069,連殷頡,Group B
GESW-070,郭佳旻,Group F
GESW-071,郭芷彤,Group A
GESW-072,郭慶妤,Group A
GESW-073,陳子郁,Group A
GESW-074,陳承維,Group C
GESW-075,陳易詩,Group D
GESW-076,陳冠叡,Group B
GESW-077,陳品叡,Group A
GESW-078,陳威婷,Group C
GESW-079,陳珈霈,Group B
GESW-080,陳虹伊,Group B
GESW-081,陳衍儒,Group F
GESW-082,陳崇文,Group F
GESW-083,陳揚卿,Group D
GESW-084,陳薈安,Group F
GESW-085,傅斯如,Group D
GESW-086,曾新育,Group A
GESW-087,游郁馥,Group A
GESW-088,黃致杰,Group A
GESW-089,黃喬歆,Group F
GESW-090,黃意婷,Group A
GESW-091,黃聖閔,Group A
GESW-092,黃聘仁,Group F
GESW-093,黃詩潔,Group B
GESW-094,黃瓊慧,Group F
GESW-095,楊婉君,Group C
GESW-096,楊惠文,Group A
GESW-097,楊璦寧,Group A
GESW-098,楊繡綾,Group E
GESW-099,楊鎮誠,Group A
GESW-100,廖文伶,Group F
GESW-101,廖以莊,Group B
GESW-102,廖俊綱,Group D
GESW-103,廖勇柏,Group C
GESW-104,廖英華,Group C
GESW-105,廖誼青,Group F
GESW-106,趙士齊,Group D
GESW-107,劉心萍,Group B
GESW-108,劉兆禹,Group C
GESW-109,劉育翔,Group C
GESW-110,劉育甄,Group D
GESW-111,劉虹余,Group A
GESW-112,劉紋秀,Group D
GESW-113,歐陽彣昱,Group A
GESW-114,蔡沛蓁,Group D
GESW-115,蔡依儒,Group F
GESW-116,蔡明潔,Group B
GESW-117,蔡欣怡,Group D
GESW-118,蔡駿騰,Group A
GESW-119,鄭竹臻,Group A
GESW-120,鄭博嘉,Group A
GESW-121,鄭雅勻,Group A
GESW-122,鄭耀瑋,Group C
GESW-123,盧致遠,Group A
GESW-124,蕭丞宗,Group D
GESW-125,蕭名翔,Group B
GESW-126,蕭如吟,Group C
GESW-127,蕭毅,Group C
GESW-128,賴柏瑞,Group F
GESW-129,鮑柏穎,Group A
GESW-130,繆志豐,Group D
GESW-131,謝承錡,Group B
GESW-132,鍾季涵,Group E
GESW-133,簡嘉瑩,Group A
GESW-134,顏志傑,Group B
GESW-135,魏怡嘉,Group A
GESW-136,魏淳郁,Group A
GESW-137,蘇明威,Group C
GESW-138,蘇真真,Group F
GESW-139,蘇聖堯,Group C
